ds,yhat,yhat_lower,yhat_upper
2024-10-03,8367113.536325159,7246670.165253857,9401356.797566341
2024-10-04,8546789.231230985,7531857.062949939,9615370.932497676
2024-10-05,10026473.486860521,8977184.226095509,11088543.49571046
2024-10-06,11283810.826372685,10277842.156363904,12329546.78867188
2024-10-07,8948458.307474634,7909099.834518103,10003594.463346902
2024-10-08,9045289.483990945,8044058.095348356,10122636.770015782
2024-10-09,9176369.124106957,8088508.771836571,10169231.469635462
2024-10-10,9228038.698644105,8183333.213651957,10298420.877652066
2024-10-11,9321384.048497727,8283145.111232443,10384654.213969426
2024-10-12,10703515.37676617,9752685.777592452,11756610.461077284
2024-10-13,11853456.512904203,10704509.313087294,12805928.834884785
2024-10-14,9401336.372065298,8395722.416596953,10461711.364473093
2024-10-15,9378954.566345662,8287176.735659645,10377063.26840574
2024-10-16,9389877.584796634,8310390.531094696,10521589.557093345
2024-10-17,9323518.164289337,8258918.180587693,10359186.935536657
2024-10-18,9304151.344679108,8349017.493384902,10321029.408896549
2024-10-19,10582688.752628038,9602497.873278309,11624922.23123026
2024-10-20,11639899.675099386,10585887.468618153,12696188.354561845
2024-10-21,9106124.56092547,8037929.148661601,10124396.852166008
2024-10-22,9019202.349519188,7916581.958384398,10022629.012082076
2024-10-23,8982707.10107375,7965519.092501363,9983550.950621797
2024-10-24,8887058.812048217,7766249.010250937,9887041.900763232
2024-10-25,8857143.090357738,7831747.635696592,9979013.906775348
2024-10-26,10144651.195292989,9097603.10023264,11203558.655390324
2024-10-27,11228718.680588908,10087386.71391608,12235835.84314986
2024-10-28,8736258.612747006,7683053.522090199,9801676.420932122
2024-10-29,8707357.443958858,7620013.7862040475,9704512.232090103
2024-10-30,8741765.00769265,7724688.871078517,9807922.326246755
2024-10-31,8727152.502755268,7626956.656303627,9794018.186689502
2024-11-01,8785450.92086704,7757072.05474921,9844471.634164961
2024-11-02,10165867.960308451,9128848.799983026,11204897.589464394
2024-11-03,11343047.996320086,10318160.535362674,12411246.276684452
2024-11-04,8938118.245287271,7899403.540419764,9978004.39501103
2024-11-05,8991632.984879345,7987992.523809338,9978996.365529137
2024-11-06,9098380.753134243,8060447.630778454,10218998.00829617
2024-11-07,9142835.27222533,8085439.69743736,10157770.168374091
2024-11-08,9244238.732999332,8181710.851057967,10359518.728238447
2024-11-09,10650300.975490907,9664249.916350555,11702928.754798587
2024-11-10,11832865.014048496,10750191.290562669,12911814.319452418
2024-11-11,9409629.365244688,8343556.410635165,10480115.729301965
2024-11-12,9424583.591905108,8421552.47647031,10504546.008452447
2024-11-13,9471056.806258187,8428103.558097325,10537688.110526063
2024-11-14,9434268.686112937,8380433.360171,10545580.27322148
2024-11-15,9435050.263653478,8374805.059173489,10483107.548528062
2024-11-16,10724106.405615268,9612196.48797126,11814690.23740895
2024-11-17,11775059.572944181,10722977.241705848,12862720.45041061
2024-11-18,9206716.181064822,8116500.906849685,10292130.995118009
2024-11-19,9070860.249366332,8015500.563028804,10074066.159341281
2024-11-20,8963412.70347733,7887313.845811366,10027174.524215559
2024-11-21,8773958.4628238,7695526.670669117,9829333.363143563
2024-11-22,8627990.827549215,7556253.868847846,9665863.949355531
2024-11-23,9781636.854635736,8685823.591037795,10900599.264680754
2024-11-24,10711995.495794265,9633914.276197685,11725462.995686112
2024-11-25,8039883.293246163,6998436.645559563,9155786.502771704
2024-11-26,7824942.698511821,6748661.640344966,8771559.765007913
2024-11-27,7664891.524095933,6581951.208072442,8709917.699987922
2024-11-28,7452029.140497041,6392309.781607845,8514679.290100615
2024-11-29,7314031.43286999,6209705.996395307,8353893.255590137
2024-11-30,8509189.555504953,7517773.174814966,9582881.98826639
2024-12-01,9514115.354891384,8400554.026428647,10528805.068626374
2024-12-02,6947060.008426368,5895293.952360575,7943424.714337447
2024-12-03,6870448.999840242,5800373.698058714,7920369.345899115
2024-12-04,6878349.231608354,5914512.6089116745,7971405.444187584
2024-12-05,6860094.049450212,5898580.057665031,7947351.931109401
2024-12-06,6939777.005004121,5920917.589954296,8021630.542984921
2024-12-07,8372156.78183438,7281917.323373949,9396653.693009969
2024-12-08,9627883.12910969,8534517.117284223,10712490.198131884
2024-12-09,7317537.925247872,6258388.426085066,8372657.450774236
2024-12-10,7501738.43821716,6469707.590793269,8513668.894581415
2024-12-11,7766951.941714302,6791898.833631432,8801177.089368444
2024-12-12,7996353.983763931,6927070.9353106,8899153.94217703
2024-12-13,8308116.695651682,7227380.685899959,9333998.965746755
2024-12-14,9952054.188646434,8956763.737401212,11063914.964911494
2024-12-15,11392419.654729724,10333293.031639155,12468750.02325164
2024-12-16,9232694.295493444,8235547.809004282,10272948.892948067
2024-12-17,9533258.192367606,8486647.118602136,10580515.169229131
2024-12-18,9875525.44051664,8771556.716021897,10877430.16822095
